source_scope,emi,method,frequency,staleness_s,population,classification,machine_atol_wm2,quantization_atol_wm2,deadband_atol_wm2,sample_count,mean_wm2,median_wm2,std_wm2,mae_wm2,rmse_wm2,p01_wm2,p05_wm2,p50_wm2,p95_wm2,p99_wm2,max_abs_wm2,proportion_below_machine,proportion_below_quantization,proportion_below_deadband
historical_xlsx,EMI02,aligned_backward,1min,60,active_components,measured,5.51736434318e-12,1.5,3,56229,58.6908356898,50,74.218473592,61.3447687137,94.6202727553,-30,-5,50,132,350.72,1032,0.00626011488734,0.019082679756,0.043073858685
historical_xlsx,EMI02,aligned_backward,1min,60,night_flat,measured,5.51736434318e-12,1.5,3,578,0.00519031141869,0,6.14994084269,3.41003460208,6.1499430329,-11.23,-8,0,12,24,38,0.299307958478,0.489619377163,0.69723183391
historical_xlsx,EMI02,aligned_backward,1min,60,daylight_provisional,measured,5.51736434318e-12,1.5,3,56717,58.1850591533,49,74.1002313789,60.8508560044,94.2143587734,-30,-5,49,131,349,1032,0.00788123490312,0.0225329266358,0.0484334502883
historical_xlsx,EMI02,aligned_backward,1min,120,all,measured,5.51736434318e-12,1.5,3,63698,55.1097993658,45,74.6586694327,57.8171371158,92.795511247,-30,-5,45,128,348.03,1032,0.0123394769067,0.029639863104,0.0602687682502
historical_xlsx,EMI02,aligned_backward,1min,120,active_components,measured,5.51736434318e-12,1.5,3,62695,55.9923917378,46,74.9204538014,58.6919371561,93.5319321426,-31,-5,46,129,352,1032,0.00736900869288,0.0218837227849,0.0498125847356
historical_xlsx,EMI02,aligned_backward,1min,120,night_flat,measured,5.51736434318e-12,1.5,3,1003,-0.0588235294118,0,5.83210844763,3.13559322034,5.8324050916,-11,-8,0,7,23.98,41,0.323030907278,0.51445663011,0.713858424726
historical_xlsx,EMI02,aligned_backward,1min,120,daylight_provisional,measured,5.51736434318e-12,1.5,3,63537,55.2479342745,45,74.7026541697,57.9621323009,92.9129742371,-30,-6,45,128,349,1032,0.010214520673,0.027558745298,0.0582652627603
historical_xlsx,EMI02,aligned_backward,1min,300,all,measured,5.51736434318e-12,1.5,3,71827,51.8476060534,40,77.1630177875,54.5769139739,92.9640014605,-30,-6,40,126,377,1032,0.0184888690882,0.0408063820012,0.0769905467303
historical_xlsx,EMI02,aligned_backward,1min,300,active_components,measured,5.51736434318e-12,1.5,3,70025,53.1858621921,41,77.6875123505,55.918000714,94.1492725002,-31,-5,41,127,387.76,1032,0.00872545519457,0.0261478043556,0.0589932167083
historical_xlsx,EMI02,aligned_backward,1min,300,night_flat,measured,5.51736434318e-12,1.5,3,1802,-0.156492785794,0,4.8990853432,2.4628190899,4.90158415127,-11,-7,0,5,21,41,0.397891231964,0.610432852386,0.776359600444
historical_xlsx,EMI02,aligned_backward,1min,300,daylight_provisional,measured,5.51736434318e-12,1.5,3,71456,52.1134404389,40,77.2745259644,54.8569189431,93.2049517858,-30,-6,40,126,381,1032,0.0142325347067,0.0366659202866,0.0730379534259
historical_xlsx,EMI02,aligned_backward,1min,900,all,measured,5.51736434318e-12,1.5,3,86308,47.8200166844,32,82.2190144158,50.506279835,95.1142488127,-30,-5,32,123,436.79,1032,0.0339134263336,0.0660309588914,0.110209945776
historical_xlsx,EMI02,aligned_backward,1min,900,active_components,measured,5.51736434318e-12,1.5,3,82493,50.0323300159,34,83.4343258903,52.7738959669,97.285768659,-31,-5,34,125,467,1032,0.0112736838277,0.0334210175409,0.0744669244663
historical_xlsx,EMI02,aligned_backward,1min,900,night_flat,measured,5.51736434318e-12,1.5,3,3815,-0.0175622542595,0,3.53317263481,1.47287024902,3.53321628267,-10,-5,0,3,14,41,0.523460026212,0.771166448231,0.883093053735
historical_xlsx,EMI02,aligned_backward,1min,900,daylight_provisional,measured,5.51736434318e-12,1.5,3,85277,48.3887800931,33,82.5504919779,51.1075201989,95.6872915527,-30,-6,33,124,444.24,1032,0.0245787257995,0.0570845597289,0.101797671119
historical_xlsx,EMI03,direct_coincident,,,all,measured,1.58323132382e-10,1.5,3,5064,-231.647116904,-103,257.367142522,233.98992891,346.263242086,-762,-730,-103,0,38.37,967,0.0321879936809,0.0418641390205,0.0600315955766
historical_xlsx,EMI03,direct_coincident,,,active_components,measured,1.58323132382e-10,1.5,3,4827,-242.865133623,-119,258.455745786,245.312202196,354.658773555,-763,-733,-119,-3,39.74,967,0.00559353635799,0.012844416822,0.0281748498032
historical_xlsx,EMI03,direct_coincident,,,night_flat,measured,1.58323132382e-10,1.5,3,237,-3.16877637131,0,5.98001204617,3.38818565401,6.76769442009,-21.28,-18,0,0,3,26,0.573839662447,0.632911392405,0.708860759494
historical_xlsx,EMI03,direct_coincident,,,daylight_provisional,measured,1.58323132382e-10,1.5,3,4961,-236.456561177,-111,257.829105786,238.848014513,349.839324711,-762.4,-731,-111,-1,39,967,0.0120943358194,0.0219713767386,0.040516024995
historical_xlsx,EMI03,aligned_backward,1min,60,all,measured,1.58323132382e-10,1.5,3,19656,-12.1903744404,39,182.832611753,102.992470492,183.238558031,-720.45,-519,39,122,202,1080,0.00956450956451,0.0195868945869,0.0349002849003
historical_xlsx,EMI03,aligned_backward,1min,60,active_components,measured,1.58323132382e-10,1.5,3,19263,-12.3871671079,40,184.677386929,104.96132482,185.092353034,-722.38,-525,40,123,204,1080,0.00363390956756,0.0117323366039,0.0252297149977
historical_xlsx,EMI03,aligned_backward,1min,60,night_flat,measured,1.58323132382e-10,1.5,3,393,-2.54452926209,0,10.0885987015,6.48854961832,10.4045400151,-25,-19,0,15,22.16,82,0.300254452926,0.404580152672,0.508905852417
