emi,month,n_valid_minutes,kc_mean,kc_std,kc_p10,kc_p25,kc_p50,kc_p75,kc_p90,frac_kc_gt_1,kc_clip_count,mean_abs_delta_kc
EMI01,2025-01,12738,0.624636823333,0.353611243682,0.198880614375,0.348389692754,0.56303045006,0.891418272838,1.14360793471,0.190139739363,112,0.0467112127315
EMI01,2025-02,18821,0.61463000867,0.350610359511,0.185519448581,0.347412556727,0.553616507229,0.877875749344,1.11656551687,0.180543010467,219,0.0432443713711
EMI01,2025-03,20723,0.610285810214,0.372898868785,0.158062267291,0.307976307683,0.549176777837,0.870585329433,1.1704853399,0.195000723833,294,0.0482616745737
EMI01,2025-04,20042,0.604747838391,0.362371481106,0.169423588756,0.323748514201,0.530952810745,0.850988298497,1.14665459146,0.180870172637,266,0.0459463807568
EMI01,2025-05,20626,0.672247466316,0.392098462797,0.172598697504,0.33821315295,0.616070929395,1.04876453385,1.19068337589,0.28977988946,285,0.0566631245895
EMI01,2025-06,18451,0.648676493263,0.368558821927,0.217069862028,0.365583407965,0.555042123756,0.946011426766,1.19348886931,0.227413148339,198,0.0571357678206
EMI01,2025-07,20645,0.716416475195,0.367861606326,0.226474377804,0.416829193938,0.678374770727,1.06321373263,1.17911047668,0.323952530879,104,0.0762312515324
EMI01,2025-08,19644,0.570065779799,0.34871824322,0.162481983994,0.309507203233,0.492570940191,0.791002609873,1.10926150111,0.160659743433,124,0.0504456726575
EMI01,2025-09,20173,0.620543068975,0.36053816781,0.185397644952,0.346816055409,0.539775075803,0.904733216404,1.15800767535,0.198284836167,205,0.0541204636862
EMI01,2025-10,20878,0.609850304061,0.374678718968,0.165190334643,0.290184290862,0.527901837329,0.929689616866,1.15678250823,0.215346297538,275,0.0492643688865
EMI01,2025-11,20133,0.632515686316,0.333520807542,0.231781543501,0.376409727739,0.578956456675,0.904813843688,1.07632667229,0.168678289376,283,0.0398481517602
EMI01,2025-12,20875,0.592071724801,0.338551588681,0.181814376561,0.34061070773,0.52306035317,0.847570973775,1.06986856179,0.14902994012,280,0.0347673705734
EMI01,2026-01,19933,0.637957000204,0.325490839884,0.234149681146,0.401383372906,0.580958365318,0.889276203609,1.07745832817,0.159835448753,228,0.0437099077139
EMI01,2026-02,18827,0.555995406715,0.335162242329,0.16262342234,0.303944275048,0.492551909072,0.7635620899,1.06382043922,0.135921814415,133,0.0381628108566
EMI01,2026-03,20806,0.657369423657,0.350579023126,0.21319675707,0.379562405561,0.602931624673,0.95797458976,1.13900780715,0.212342593483,270,0.047461839305
EMI01,2026-04,16585,0.682580811285,0.383864109529,0.195490166315,0.337067824341,0.701088239715,1.01137037017,1.14188427625,0.263732288212,269,0.0631934584049
EMI01,2026-05,9215,0.560164876761,0.386249336511,0.0860039296481,0.250240224869,0.462728473157,0.923914705666,1.10477200822,0.19175257732,65,0.0483368194958
EMI01,2026-06,13390,0.664777188613,0.415858717353,0,0.330476622623,0.635063889038,1.04306611609,1.1945731203,0.281254667662,166,0.098586639841
EMI02,2025-01,11891,0.621051609,0.34186003117,0.202039311721,0.357379677941,0.571269286187,0.879775815864,1.10906613343,0.181145404087,78,0.0464148608207
EMI02,2025-02,18824,0.612351393355,0.343114412846,0.189106701158,0.35129097708,0.556842225926,0.861093803636,1.10238709854,0.175095622609,180,0.0425223457996
EMI02,2025-03,19390,0.621051888184,0.370246155176,0.163420122734,0.326585047544,0.564637273811,0.875508162034,1.1726315985,0.197782362042,328,0.0500783784982
EMI02,2025-04,19187,0.618989658388,0.373339873098,0.169618857096,0.327504317995,0.543503437565,0.872486145285,1.17905219324,0.190337207484,358,0.0473961075762
EMI02,2025-05,20629,0.70488138658,0.406469254927,0.179641939765,0.35162708409,0.6582414225,1.08267645334,1.22548155493,0.329633040865,458,0.0566377116406
EMI02,2025-06,18910,0.673771577359,0.378708695984,0.225952852321,0.38071939531,0.577501802198,1.00038445053,1.22444675709,0.250185087255,377,0.0561636015862
EMI02,2025-07,20652,0.752619064977,0.385935054291,0.236842590215,0.439240087473,0.721063167282,1.10249539035,1.22525139124,0.359384079024,441,0.0752938048129
EMI02,2025-08,20086,0.592701646364,0.3682326597,0.158336572851,0.315074327936,0.505198318037,0.843282022094,1.15796521192,0.189186498058,276,0.0525312202923
