zip_name,byte_size,sha256,csv_entry_count,populated_csv_count,empty_csv_count,uncompressed_csv_bytes
trends_export_1783132798422.zip,669063,89c14c7d1c41647acc1c05467f765f9d8d244a2adc93f401957b101c52a57ba5,2,2,0,3328197
trends_export_1783132807419.zip,129030,2a8923c84be9b8854a1e620cba72da27f8f726d46f90f65ab02a34368bfa1a81,1,1,0,545093
trends_export_1783132813029.zip,4426,736d56da8e34ff416e9be178a4baa71255d242b6d5354debf0466a18dfbdc7bf,1,1,0,16541
trends_export_1783132819168.zip,62168,10d7e51c407379fca60c948c7e09c426aad47028e88de1c8b19e592b5527881c,1,1,0,243388
trends_export_1783132825322.zip,4128,599f3f8153d4b0db77e39a76708ab7ab85100179f12e6cd06c45480bc5427f45,1,1,0,15606
trends_export_1783132831152.zip,4098,857c984fcc1ff34a671014e7aa4799e734ae8d271c5b225edbfcdd64a5a1ef01,1,1,0,15671
trends_export_1783132838861.zip,132332,421f873b81dc79e76e269a3db30a57a65356c0b5f987e4cbd5dfecc93571f76d,1,1,0,528146
trends_export_1783132844496.zip,2546,af771a8483473b3e63fc911ddaf88bba56ffa45126f80dca2073a6464f2d7c39,1,1,0,10014
trends_export_1783132852537.zip,2496,6d83c57d24e2606c08c833facc72aa15e32825d5ffab9ca7e6498ad122bcd10e,1,1,0,9925
trends_export_1783132858197.zip,2498,92a25bbaef62d67a3e7fab1b89295edcc23cb10eeb5f906f6c98f6e37a0d8097,1,1,0,9927
trends_export_1783132863823.zip,2620,3f03783b795844215ab84db679512bd95e0ef99bd25720798669c938bc4103f8,1,1,0,10505
trends_export_1783132874321.zip,112333,735c0b49653735227fb7265ad6b9ade54413b0eb1244b6ba361695cb16d4a77a,1,1,0,439479
trends_export_1783132882016.zip,6100,2f72e8589d6d25f1790ddffd530c6d65736b9fd3ad0f7620845cea0063d3dda4,1,1,0,23863
trends_export_1783132888557.zip,6022,9e6897c3364cd601b2469da8e179ec5e377c9dd71f566ecbb44b0eacf27b4c8e,1,1,0,24145
trends_export_1783132900938.zip,224995,2a1604f0f69d8323dde34bbaffe96192227ffb21354298f96e58a9a1d2091d04,1,1,0,890684
trends_export_1783132911984.zip,426437,84e5bf6fcde325f8944c32d8823d8a1a30219f5f49fa45b9cecf52368056a5d6,1,1,0,1754364
trends_export_1783132920950.zip,2514,8998335ac293ba3876b236b7569a455bb199623625b0183888d1a2b2818a0789,1,1,0,9943
trends_export_1783132926975.zip,2519,bd981ae1d185df969b83d9127ffecc1bd4d80ee8d5adda0d5118a4dbec0964e1,1,1,0,9943
trends_export_1783132934182.zip,2518,59dc0f293b76ac6152da49aaa496f9fc202dd6cf0c310e85e78934654ea13a80,1,1,0,9943
trends_export_1783132944350.zip,67934,a22ec6f52cf4400511408b354ef7aee7175529f7e754f0fcb178244a500fb71d,1,1,0,261986
trends_export_1783132951031.zip,120346,fae7030cb9e363a2ee5273b2241bad0749a1be81d65cf594e6d1fb9742fa932c,1,1,0,473175
trends_export_1783132960069.zip,5793,483b7de64a550df1704d216b8def6e81bd9811b4899da81b1e3c7d5af9f2cabe,1,1,0,22164
trends_export_1783132968050.zip,5771,9b6e15120a1fafab0e7207c27e7738b84a07ea5f0983dcd15d3443d7648ee9f6,1,1,0,22814
trends_export_1783132978563.zip,2486,4ed2ae900af65e631247582148edf6ea48644254d9a373df5ef6ffeeab942a45,1,1,0,9913
trends_export_1783132988065.zip,149707,68ac62fcdf05376fcdf2c8fee27272c45dc5cd695d6c930919bd67e27a28173e,1,1,0,615204
trends_export_1783132999904.zip,149707,2f3e0a78819e440827db202625c5af07ff2adb9a5a5da7aec6f28859cc81c431,1,1,0,615204
trends_export_1783133007679.zip,144625,638d709b39eadcea13977a15e3bbbcbffa6be8ea378eb5c513d7882624f80ba8,1,1,0,592387
trends_export_1783133017086.zip,147775,dfda27a0c59a8d79c5fe5c35fced91724ef13392e701b6efeab1dc9b1e665d81,1,1,0,606770
trends_export_1783133025380.zip,2491,13eee65b22cd14879871501cec8a22fc33be279faf552e2f3a74b74de222d46b,1,1,0,9923
trends_export_1783133032104.zip,2497,d6da3822fac694559fb4d8bfcf2bb62ab5b60b5d9beaaaf6e43f6d12e26a80af,1,1,0,9923
trends_export_1783133037559.zip,2495,4e088174095a76563f0c41ffe053f0c41e05bc0cde032f352c7f08ba425c5e2c,1,1,0,9923
trends_export_1783133044212.zip,2495,d491468155d3b7c7ffc832d92b239e66161336319e64e9067eceb60806cbd4d4,1,1,0,9925
trends_export_1783133052851.zip,2500,f75ad5a1d18cc68a417fc3a9e1a21406a33775fdd90ece5cb59d6e0e2b33777a,1,1,0,9925
trends_export_1783133058682.zip,2498,3865f317dd07eaaa58fe4bf1574213f78a94cf4002d77709f4d47c43c3b10574,1,1,0,9925
trends_export_1783133065616.zip,2616,e6a6a422630fa0e5926d594400d3e19db5dfeefed7d54eff857506f4a6b87fc9,1,1,0,10503
trends_export_1783133072246.zip,2611,82349d08ccc555f7d7453bc08765fec13351e17d6762a1e5ea73bd0371fb6f61,1,1,0,10503
trends_export_1783133077930.zip,2497,502913d3eb30f1e219dd4b0dcc5e7ad725adbfe03e90757a132fb5ab5f10b257,1,1,0,9924
trends_export_1783133085080.zip,2493,40d6c6a2d64dfcd9f17c49a0ad218cf8ddb900ec0884798ca79d1dc56d8f9cb6,1,1,0,9919
trends_export_1783133094694.zip,2252405,0f20118f57c3fc25318ceeacf363ce2988f9ebf0b7be616ca8da369e73140837,5,5,0,10901859
